iter	Passed	Remaining
434	1505	1954
435	1506	1948
436	1515	1952
437	1516	1946
438	1531	1956
439	1536	1955
440	1539	1951
441	1541	1945
442	1542	1939
443	1563	1957
444	1564	1950
445	1565	1944
446	1567	1938
447	1585	1953
448	1586	1946
449	1587	1940
450	1588	1933
451	1589	1927
452	1590	1921
453	1618	1946
454	1625	1946
455	1631	1946
456	1638	1946
457	1643	1944
458	1647	1941
459	1655	1943
460	1657	1937
461	1658	1931
462	1670	1936
463	1677	1937
464	1683	1937
465	1684	1930
466	1685	1924
467	1689	1920
468	1692	1916
469	1697	1913
470	1704	1914
471	1710	1913
472	1714	1910
473	1715	1904
474	1717	1898
475	1718	1892
476	1720	1886
477	1721	1880
478	1723	1874
479	1724	1868
480	1726	1862
481	1727	1857
482	1729	1851
483	1730	1845
484	1732	1839
485	1734	1834
486	1736	1828
487	1774	1861
488	1776	1855
489	1777	1850
490	1778	1843
491	1780	1838
492	1783	1834
493	1785	1828
494	1786	1822
495	1789	1817
496	1791	1813
497	1792	1807
498	1794	1801
499	1795	1795
500	1797	1789
501	1798	1784
502	1800	1778
503	1801	1772
504	1806	1771
505	1807	1764
506	1809	1759
507	1810	1753
508	1811	1747
509	1812	1741
510	1817	1738
511	1819	1734
512	1822	1729
513	1824	1724
514	1826	1719
515	1828	1715
516	1831	1710
517	1832	1704
518	1834	1700
519	1835	1694
520	1837	1689
521	1839	1684
522	1840	1678
523	1841	1673
524	1844	1668
525	1845	1663
526	1846	1657
527	1848	1652
528	1849	1646
529	1851	1642
530	1853	1637
531	1854	1631
532	1855	1626
533	1859	1623
534	1864	1620
535	1868	1617
536	1872	1614
537	1874	1609
538	1875	1604
539	1877	1599
540	1885	1599
541	1891	1598
542	1898	1597
543	1902	1594
544	1904	1589
545	1921	1598
546	1926	1595
547	1936	1597
548	1938	1592
549	1948	1594
550	1962	1599
551	1969	1598
552	1971	1593
553	1972	1587
554	1973	1582
555	1978	1579
556	1979	1574
557	1981	1569
558	1982	1564
559	1984	1559
560	1985	1554
561	1987	1548
562	1988	1543
563	1989	1538
564	1991	1533
565	1994	1529
566	1995	1524
567	1997	1519
568	1998	1513
569	2002	1510
570	2004	1505
571	2005	1500
572	2010	1498
573	2014	1495
574	2021	1493
575	2028	1493
576	2035	1492
577	2041	1490
578	2045	1487
579	2051	1485
580	2056	1483
581	2061	1480
582	2064	1476
583	2065	1471
584	2068	1467
585	2073	1464
586	2078	1462
587	2080	1457
588	2086	1456
589	2092	1453
590	2093	1448
591	2095	1444
592	2096	1439
593	2100	1435
594	2103	1431
595	2106	1427
596	2109	1423
597	2110	1418
598	2114	1415
599	2116	1411
600	2121	1408
601	2126	1405
602	2128	1401
603	2131	1397
604	2134	1393
605	2136	1389
606	2140	1385
607	2141	1380
608	2144	1377
609	2148	1373
610	2149	1368
611	2152	1364
612	2155	1361
613	2157	1356
614	2164	1354
615	2169	1352
616	2171	1348
617	2175	1344
618	2177	1340
619	2180	1336
620	2184	1333
621	2188	1329
622	2193	1327
623	2194	1322
624	2198	1319
625	2200	1314
626	2204	1311
627	2210	1309
628	2211	1304
629	2216	1301
630	2218	1297
631	2220	1292
632	2225	1290
633	2227	1285
634	2230	1282
635	2232	1277
636	2236	1274
637	2238	1270
638	2241	1266
639	2243	1261
640	2248	1259
641	2251	1255
642	2253	1251
643	2255	1246
644	2259	1243
645	2264	1240
646	2267	1237
647	2271	1233
648	2273	1229
649	2275	1225
650	2279	1221
651	2281	1217
652	2283	1213
653	2284	1208
654	2285	1204
655	2288	1200
656	2294	1198
657	2296	1193
658	2298	1189
659	2300	1185
660	2301	1180
661	2303	1176
662	2307	1173
663	2313	1170
664	2317	1167
665	2319	1163
666	2324	1160
667	2329	1157
668	2332	1154
669	2337	1151
670	2339	1146
671	2341	1142
672	2349	1141
673	2351	1137
674	2353	1133
675	2354	1128
676	2356	1124
677	2357	1119
678	2359	1115
679	2361	1111
680	2362	1106
681	2364	1102
682	2365	1097
683	2366	1093
684	2367	1088
685	2368	1084
686	2370	1079
687	2371	1075
688	2372	1070
689	2373	1066
690	2374	1062
691	2376	1057
692	2377	1053
693	2382	1050
694	2389	1048
695	2393	1045
696	2395	1041
697	2397	1037
698	2398	1032
699	2399	1028
700	2400	1024
701	2402	1019
702	2403	1015
703	2404	1011
704	2405	1006
705	2407	1002
706	2408	998
707	2409	993
708	2411	989
709	2412	985
710	2413	981
711	2415	976
712	2416	972
713	2417	968
714	2419	964
715	2420	960
716	2422	956
717	2423	951
718	2425	947
719	2426	943
720	2427	939
721	2429	935
722	2430	931
723	2432	927
724	2433	923
725	2434	918
726	2437	915
727	2439	911
728	2440	907
729	2442	903
730	2443	899
731	2444	895
732	2446	891
733	2447	887
734	2448	882
735	2450	878
736	2451	874
737	2453	870
738	2455	867
739	2456	863
740	2458	859
741	2459	855
742	2460	851
743	2461	847
744	2463	843
745	2465	839
746	2466	835
747	2467	831
748	2469	827
749	2470	823
750	2471	819
